,Customer,x (kWh),y (kW)
0,1,679,0.79
1,2,292,0.44
2,3,1012,0.56
3,4,493,0.79
4,5,582,2.7
5,6,1156,3.64
6,7,997,4.73
7,8,2189,9.5
8,9,1097,5.34
9,10,2078,6.85
10,11,1818,5.84
11,12,1700,5.21
12,13,747,3.25
13,14,2030,4.43
14,15,1643,3.16
15,16,414,0.5
16,17,354,0.17
17,18,1276,1.88
18,19,745,0.77
19,20,435,1.39
20,21,540,0.56
21,22,874,1.56
22,23,1543,5.28
23,24,1029,0.64
24,25,710,4.0
25,26,1434,0.31
26,27,837,4.2
27,28,1748,4.88
28,29,1381,3.48
29,30,1428,7.58
30,31,1255,2.63
31,32,1777,4.99
32,33,370,0.59
33,34,2316,8.19
34,35,1130,4.79
35,36,463,0.51
36,37,770,1.74
37,38,724,4.1
38,39,808,3.94
39,40,790,0.96
40,41,783,3.29
41,42,406,0.44
42,43,1242,3.24
43,44,658,2.14
44,45,1746,5.71
45,46,468,0.64
46,47,1114,1.9
47,48,413,0.51
48,49,1787,8.33
49,50,3560,14.94
50,51,1495,5.11
51,52,2221,3.85
52,53,1526,3.93
