,"Observation, i","Time, xi (seconds)","Voltage Drop, yi"
0,1,0.0,8.33
1,2,0.5,8.23
2,3,1.0,7.17
3,4,1.5,7.14
4,5,2.0,7.31
5,6,2.5,7.6
6,7,3.0,7.94
7,8,3.5,8.3
8,9,4.0,8.76
9,10,4.5,8.71
10,11,5.0,9.71
11,12,5.5,10.26
12,13,6.0,10.91
13,14,6.5,11.67
14,15,7.0,11.76
15,16,7.5,12.81
16,17,8.0,13.3
17,18,8.5,13.88
18,19,9.0,14.59
19,20,9.5,14.05
20,21,10.0,14.48
21,22,10.5,14.92
22,23,11.0,14.37
23,24,11.5,14.63
24,25,12.0,15.18
25,26,12.5,14.51
26,27,13.0,14.34
27,28,13.5,13.81
28,29,14.0,13.79
29,30,14.5,13.05
30,31,15.0,13.04
31,32,15.5,12.6
32,33,16.0,12.05
33,34,16.5,11.15
34,35,17.0,11.15
35,36,17.5,10.14
36,37,18.0,10.08
37,38,18.5,9.78
38,39,19.0,9.8
39,40,19.5,9.95
40,41,20.0,9.51
